F110_Brush_Species,F110_Year,F110_Percent,F111_Brush_Species,F111_Year,F111_Percent,F112_Brush_Species,F112_Year,F112_Percent,F113_Brush_Species,F113_Year,F113_Percent,F14_Brush_Species,F14_Year,F14_Percent,F15_Brush_Species,F15_Year,F15_Percent,F16_Brush_Species,F16_Year,F16_Percent,F17_Brush_Species,F17_Year,F17_Percent,F18_Brush_Species,F18_Year,F18_Percent,F19_Brush_Species,F19_Year,F19_Percent,F27_Brush_Species,F27_Year,F27_Percent,F28_Brush_Species,F28_Year,F28_Percent,G11_Brush_Species,G11_Year,G11_Percent,G12_Brush_Species,G12_Year,G12_Percent,G13_Brush_Species,G13_Year,G13_Percent,G14_Brush_Species,G14_Year,G14_Percent,G15_Brush_Species,G15_Year,G15_Percent
(Ac),1931,0,Ac,1931,17,Ann,1931,0,Ac,1931,15,(Ac),1931,0,Gr,1931,0,Ac,1931,87,Ac,1931,23,Ann,1931,0,Ac,1931,12,(Ls),1931,0,(Cc),1931,0,Ac,1931,2,Bare,1931,0,Ac,1931,45,Ac,1931,0,(Ma),1931,0
(Da),1931,0,Enc,1931,0,Bare,1931,0,Bare,1931,0,(Bp),1931,0,Lit A,1931,61,Bare,1931,0,Bare,1931,0,Bare,1931,0,Bare,1931,0,(Sm),1931,0,(Sm),1931,0,Da,1931,8,Gr,1931,17,Bare,1931,0,Bare,1931,0,Ac,1931,28
Ac,1931,18,Rd,1931,0,Da,1931,5,Cog,1931,0,Ac,1931,33,Pta,1931,13,Da,1931,0,Bp,1931,0,Gr,1931,0,Eco2,1931,0,Ac,1931,2,Agl,1931,15,Gr,1931,41,Lit A,1931,83,Enc,1931,17,Gr,1931,100,Gr,1931,14
Bare,1931,0,Sl,1931,83,Eco2,1931,0,Da,1931,0,Bare,1931,0,Qa,1931,0,Gr,1931,0,Gr,1931,0,Lit A,1931,81,Enc,1931,0,Af,1931,79,Ac,1931,0,Lit A,1931,11,Bare,2018,1,Gr,1931,0,Lit A,1931,0,Hs,1931,58
Bp,1931,16,Ac,2018,1,F1,1931,20,Eco2,1931,0,Bp,1931,19,Rc,1931,6,Rc,1931,2,Pa,1931,8,Qa,1931,0,Gr,1931,0,Agl,1931,0,Af,1931,74,Qa,1931,0,Gr,2018,49,Sm,1931,38,Qa,1931,0,Ma,1931,0
Da,1931,0,Enc,2018,6,Gr,1931,9,Gr,1931,0,Da,1931,0,Rd,1931,20,Rcr,1931,0,Pi,1931,1,Rc,1931,8,Hs,1931,0,Bare,1931,0,Bare,1931,0,Rc,1931,5,Lit A,2018,50,Ac,2018,29,Ac,2018,7,(Ma),2018,4
Eco2,1931,0,Rd,2018,1,Lit A,1931,26,Rcr,1931,0,Lal,1931,1,Gr,2018,28,Rd,1931,9,Rcr,1931,7,Rcr,1931,4,Rd,1931,2,Bp,1931,2,Cc,1931,4,Rd,1931,33,,,,Bare,2018,12,Bare,2018,2,Ac,2018,0
Gr,1931,0,Sl,2018,92,Rc,1931,3,Sg,1931,0,Lit Ac,1931,0,Lit A,2018,61,Rs,1931,1,Rd,1931,1,Rd,1931,7,Sl,1931,86,Pa,1931,1,Gr,1931,0,Rv,1931,0,,,,Enc,2018,0,Gr,2018,83,Gr,2018,1
Lit A,1931,0,,,,Rd,1931,30,Sl,1931,85,Ls,1931,0,Pta,2018,0,Sg,1931,1,Rm,1931,1,Trunk,1931,0,Ac,2018,13,Qa,1931,3,Qa,1931,4,Ss,1931,0,,,,Gr,2018,59,Lit A,2018,4,Hs,2018,0
Lit Pa,1931,0,,,,Rv,1931,6,Ac,2018,26,Pa,1931,2,Qa,2018,2,Sm,1931,0,Sl,1931,59,Ann,2018,4,Bare,2018,2,Sm,1931,13,Sm,1931,3,Ac,2018,0,,,,Sm,2018,0,Qa,2018,4,Ma,2018,95
Pa,1931,0,,,,Sg,1931,1,Bare,2018,2,Pta,1931,1,Rc,2018,0,Ac,2018,56,Ac,2018,11,Bare,2018,4,Eco2,2018,1,(Ls),2018,3,(Cc),2018,1,Da,2018,0,,,,,,,,,,,,
Qa,1931,0,,,,Ann,2018,10,Cog,2018,5,Qa,1931,0,Rd,2018,9,Bare,2018,1,Bare,2018,7,Gr,2018,7,Enc,2018,1,(Sm),2018,1,(Sm),2018,4,Gr,2018,41,,,,,,,,,,,,
Rc,1931,28,,,,Bare,2018,1,Da,2018,2,Rc,1931,33,,,,Da,2018,20,Bp,2018,4,Lit A,2018,46,Gr,2018,5,Ac,2018,5,Agl,2018,0,Lit A,2018,44,,,,,,,,,,,,
Rcr,1931,0,,,,Da,2018,0,Eco2,2018,11,Rd,1931,10,,,,Gr,2018,3,Gr,2018,16,Qa,2018,1,Hs,2018,1,Af,2018,0,Ac,2018,6,Qa,2018,8,,,,,,,,,,,,
Rd,1931,38,,,,Eco2,2018,1,Gr,2018,28,Rm,1931,1,,,,Rc,2018,3,Pa,2018,0,Rc,2018,0,Rd,2018,3,Agl,2018,77,Af,2018,2,Rc,2018,0,,,,,,,,,,,,
Lhc,1931,0,,,,F1,2018,0,Rcr,2018,2,(Ac),2018,4,,,,Rcr,2018,11,Pi,2018,0,Rcr,2018,0,Sl,2018,74,Bare,2018,7,Bare,2018,4,Rd,2018,5,,,,,,,,,,,,
(Ac),2018,7,,,,Gr,2018,30,Sg,2018,10,(Bp),2018,1,,,,Rd,2018,2,Rcr,2018,0,Rd,2018,35,,,,Bp,2018,0,Cc,2018,7,Rv,2018,1,,,,,,,,,,,,
(Da),2018,1,,,,Lit A,2018,31,Sl,2018,14,Ac,2018,20,,,,Rs,2018,0,Rd,2018,0,Trunk,2018,3,,,,Pa,2018,0,Gr,2018,3,Ss,2018,1,,,,,,,,,,,,
Ac,2018,19,,,,Rc,2018,0,,,,Bare,2018,3,,,,Sg,2018,2,Rm,2018,0,,,,,,,Qa,2018,0,Qa,2018,1,,,,,,,,,,,,,,,
Bare,2018,3,,,,Rd,2018,27,,,,Bp,2018,20,,,,Sm,2018,2,Sl,2018,62,,,,,,,Sm,2018,7,Sm,2018,72,,,,,,,,,,,,,,,
Bp,2018,7,,,,Rv,2018,0,,,,Da,2018,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Da,2018,18,,,,Sg,2018,0,,,,Lal,2018,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eco2,2018,3,,,,,,,,,,Lit Ac,2018,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gr,2018,6,,,,,,,,,,Ls,2018,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lit A,2018,2,,,,,,,,,,Pa,2018,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lit Pa,2018,5,,,,,,,,,,Pta,2018,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pa,2018,7,,,,,,,,,,Qa,2018,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qa,2018,1,,,,,,,,,,Rc,2018,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rc,2018,2,,,,,,,,,,Rd,2018,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rcr,2018,5,,,,,,,,,,Rm,2018,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rd,2018,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lhc,2018,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,